0 - 9,30 кю
10 - 19,29 кю
20 - 29,28 кю
30 - 39,27 кю
40 - 49,26 кю
50 - 59,25 кю
60 - 69,24 кю
70 - 79,23 кю
80 - 89,22 кю
90 - 99,21 кю
100 - 149,20 кю
150 - 199,19 кю
200 - 299,18 кю
300 - 399,17 кю
400 - 499,16 кю
500 - 599,15 кю
600 - 699,14 кю
700 - 799,13 кю
800 - 899,12 кю
900 - 999,11 кю
1000 - 1099,10 кю
1100 - 1199,9 кю
1200 - 1299,8 кю
1300 - 1399,7 кю
1400 - 1499,6 кю
1500 - 1599,5 кю
1600 - 1699,4 кю
1700 - 1799,3 кю
1800 - 1899,2 кю
1900 - 1999,1 кю
2000 - 2099,1 дан
2100 - 2199,2 дан
2200 - 2299,3 дан
2300 - 2399,4 дан
2400 - 2499,5 дан
2500 - 2599,6 дан
2600 - 2699,7 дан
2700 - 2799,8 дан
2800 - 2899,9 дан
